ADDR_ID,STNO,UNIT_NO,STNAME,SUFFIX,DIRECTION,FULLNAME,CITY_PIN,WARD,LATITUDE,LONGITUDE,CRTDT_GIS,UPDDT_GIS,GlobalID
154079,3855,,MAYLA,DR,,3855 MAYLA DR,24479800,W10,43.54363800000,-79.73847600000,2005/06/03,2025/07/23,22850d56-5c59-4e74-95ea-f9b60a701060
49359,2261,,DUNWIN,DR,,2261 DUNWIN DR,11771600,W8,43.53544800000,-79.67531400000,2001/08/09,2025/07/25,6d20bcf3-f3ae-4d8a-8550-6db6f7c6dc42
94444,5301,,TURNEY,DR,,5301 TURNEY DR,13368600,W11,43.57405200000,-79.71922500000,2001/08/09,2025/07/26,f7886939-d6d9-474f-8909-5a66e90c72cd
142205,3472,,MCDOWELL,DR,,3472 MCDOWELL DR,19454800,W10,43.55655500000,-79.75173500000,2003/05/14,2025/07/23,14ac454f-88a2-493c-8ab6-0a457741db89
107556,6975,,LISANNE,CRT,,6975 LISANNE CRT,14129000,W10,43.57555700000,-79.78433500000,2001/08/09,2025/07/27,435dcab0-57bd-4c4b-9eb1-da57be8b3199
159090,5098,,NESTLING,GROV,,5098 NESTLING GROV,27136200,W10,43.54892900000,-79.72252700000,2008/04/30,2025/07/23,01d0acb1-5e57-4beb-b482-beffa351066b
62237,3057,,OLYMPUS,MEWS,,3057 OLYMPUS MEWS,13859900,W9,43.58246800000,-79.76699800000,2001/08/09,2025/07/27,87c3b605-9fa9-4c53-9a3a-c6526cd7078d
154276,4861,,HALF MOON,GROV,,4861 HALF MOON GROV,25666200,W8,43.54629500000,-79.71825600000,2008/03/12,2025/07/27,e2c9656d-98c2-4c19-941a-55ef98ab9582
45542,1986,,HARTLAND,DR,,1986 HARTLAND DR,1333400,W2,43.51565500000,-79.63332700000,2001/08/09,2025/07/13,48eeb60b-008f-4b73-932e-eec632a1cd81
71018,3365,,AUBREY,RD,,3365 AUBREY RD,14463400,W8,43.52106100000,-79.69890500000,2001/08/09,2025/07/27,c46812d4-9599-4691-9729-d6be08aeca48
